English lemma,Swedish lemma,POS,status
information-centric network,,,no translation
infrastructure|s,infrastruktur infrastrukturer,,invalid characters in lemma
initial value problems,,,no translation
input devices and strategies (e.g.,,,no translation
input/output,in- och utmatning,,invalid characters in lemma
input/output,in- och utmatning,,invalid characters in lemma
input/output,ingång / utgång,,invalid characters in lemma
input/output and data communications,in- och utmatning och datakommunikation,,invalid characters in lemma
input/output circuits,in/utmatningskretsar,,invalid characters in lemma
input/output devices,in- och utenheter,,invalid characters in lemma
insight|s,insikt insikter,,invalid characters in lemma
instruction set design (e.g.,design av instruktionsuppsättningar (t.ex. risc,,invalid characters in lemma
integer programming,,,no translation
integral equations,,,no translation
integro-differential equations,,,no translation
intelligent network application protocol/intelligent network application part,,,no translation
interaction styles (e.g.,…direktmanipulering,,invalid characters in lemma
interactive voice & video response,interaktiv röst och video svar,,invalid characters in lemma
interconnection architectures (e.g.,,,no translation
interconnections,,,no translation
interconnect|s interconnector interconnected interconnecting interconnection,samtrafik sammanbinder förbindelse förbundna förbindande sammankoppling,,invalid characters in lemma
internal,inre/intern,,invalid characters in lemma
internet (e.g.,internet,,invalid characters in lemma
internet internetworked internetworking,"""net """"av nätverk"""" internet""",,invalid characters in lemma
internet protocol,,,no translation
internetwork internetworking internetworked,"""internet internetteknologi/samverkan """"sammankopplade nätverk""""""",,invalid characters in lemma
internetworking,,,no translation
interpolation (i.3.5,,,no translation
interpolation formulas,,,no translation
interrupt|s interruption,avbryta avbrott avbrott,,invalid characters in lemma
interval arithmetic,,,no translation
intra-domain routing,,,no translation
invasive software (e.g.,intrångsprogram (t.ex. virus,,invalid characters in lemma
invasive software (e.g.,invaderande program (t.ex. virus,,invalid characters in lemma
inverse problems,,,no translation
ip backbones,,,no translation
ip multimedia core network subsystem,,,no translation
ip version 4,,,no translation
ip version 6,,,no translation
ipv6 deployment,,,no translation
issue issues issued,emittera/emission emissioner emitterade,,invalid characters in lemma
iterative methods,,,no translation
iterative methods,,,no translation
iterative solution techniques,,,no translation
itself,sig/själv,,invalid characters in lemma
java remote method invocation,,,no translation
javascript object notation,,,no translation
jitter,skakning/darrning,,invalid characters in lemma
journal|s,tidskrift tidskrifter,,invalid characters in lemma
keep keeps keeping,hålla håller förvar/vård,,invalid characters in lemma
key-value store/key-value data store,nyckel-värde datalager,,invalid characters in lemma
lambda calculus and related systems,,,no translation
language constructs and features,,,no translation
languages (e.g.,språk (t.ex. beskrivnings-,,invalid characters in lemma
languages and systems (3.2,språk och system (3.2,,invalid characters in lemma
large and medium  computers,"""stora och mellanstora datorer """,,invalid characters in lemma
large largely,"""stor """"stor del""""""",,invalid characters in lemma
large text archives,,,no translation
laser|s,laser lasrar,,invalid characters in lemma
latency,latens/fördoldhet,,invalid characters in lemma
layer 2 tunneling protocol,,,no translation
leader,ledare/chef,,invalid characters in lemma
least squares approximation,,,no translation
least squares methods,,,no translation
lecture|s,föreläsning föredrag,,invalid characters in lemma
leverage,hävstångs/påtryckning,,invalid characters in lemma
library automation,,,no translation
license|s licensed licensing,licens licenserlicensierad licensiering,,invalid characters in lemma
light weight coated  paper,,,no translation
